# This is the list of valid HTML character entities
# This list is used by QA3.pl
# Do not remove this file
#
# 08/15/02 - WAK
# from:
# http://www.w3.org/MarkUp/html3/latin1.html
# http://www.cwru.edu/help/interHTML/examples/isolist0.html
# 
#Name|Syntax|Description|
lt|&lt;|Less than sign
|&#161;|Inverted exclamation
|&#162;|Cent sign
|&#163;|Pound sterling
|&#164;|General currency sign
|&#165;|Yen sign
|&#166;|Broken vertical bar
|&#167;|Section sign
|&#168;|Umlaut (dieresis)
|&#169;|Copyright
|&#170;|Feminine ordinal
|&#171;|Left angle quote, guillemotleft
|&#172;|Not sign
|&#173;|Soft hyphen
|&#174;|Registered trademark
|&#175;|Macron accent
|&#176;|Degree sign
|&#177;|Plus or minus
|&#178;|Superscript two
|&#179;|Superscript three
|&#180;|Acute accent
|&#181;|Micro sign
|&#182;|Paragraph sign
|&#183;|Middle dot
|&#184;|Cedilla
|&#185;|Superscript one
|&#186;|Masculine ordinal
|&#187;|Right angle quote, guillemotright
|&#188;|Fraction one-fourth
|&#189;|Fraction one-half
|&#190;|Fraction three-fourths
|&#191;|Inverted question mark
|&#192;|Capital A, acute accent
|&#193;|Capital A, grave accent
|&#194;|Capital A, circumflex accent
|&#195;|Capital A, tilde
|&#196;|Capital A, ring
|&#197;|Capital A, dieresis or umlaut mark
|&#198;|Capital AE dipthong (ligature)
|&#199;|Capital C, cedilla
|&#200;|Capital E, acute accent
|&#201;|Capital E, grave accent
|&#202;|Capital E, circumflex accent
|&#203;|Capital E, dieresis or umlaut mark
|&#204;|Capital I, acute accent
|&#205;|Capital I, grave accent
|&#206;|Capital I, circumflex accent
|&#207;|Capital I, dieresis or umlaut mark
|&#208;|Capital Eth, Icelandic
|&#209;|Capital N, tilde
|&#210;|Capital O, acute accent
|&#211;|Capital O, grave accent
|&#212;|Capital O, circumflex accent
|&#213;|Capital O, tilde
|&#214;|Capital O, dieresis or umlaut mark
|&#215;|Multiply sign
|&#216;|Capital O, slash
|&#217;|Capital U, acute accent
|&#218;|Capital U, grave accent
|&#219;|Capital U, circumflex accent
|&#220;|Capital U, dieresis or umlaut mark
|&#221;|Capital Y, acute accent
|&#222;|Capital THORN, Icelandic
|&#223;|Small sharp s, German (sz ligature)
|&#224;|Small a, acute accent
|&#225;|Small a, grave accent
|&#226;|Small a, circumflex accent
|&#227;|Small a, tilde
|&#228;|Small a, tilde
|&#229;|Small a, dieresis or umlaut mark
|&#230;|Small ae dipthong (ligature)
|&#231;|Small c, cedilla
|&#232;|Small e, acute accent
|&#233;|Small e, grave accent
|&#234;|Small e, circumflex accent
|&#235;|Small e, dieresis or umlaut mark
|&#236;|Small i, acute accent
|&#237;|Small i, grave accent
|&#238;|Small i, circumflex accent
|&#239;|Small i, dieresis or umlaut mark
|&#240;|Small eth, Icelandic
|&#241;|Small n, tilde
|&#242;|Small o, acute accent
|&#243;|Small o, grave accent
|&#244;|Small o, circumflex accent
|&#245;|Small o, tilde
|&#246;|Small o, dieresis or umlaut mark
|&#247;|Division sign
|&#248;|Small o, slash
|&#249;|Small u, acute accent
|&#250;|Small u, grave accent
|&#251;|Small u, circumflex accent
|&#252;|Small u, dieresis or umlaut mark
|&#253;|Small y, acute accent
|&#254;|Small thorn, Icelandic
|&#255;|Small y, dieresis or umlaut mark
